source (en),translation (zh_CN)
Jewel Box,宝盒星团
Herschel's Jewel Box,赫歇尔的珠宝盒
κ Cru Cluster,南十字座κ星团
Paper-Kite Galaxy,纸风筝星系
Kidney Bean Galaxy,腰豆星系
Black Eye Galaxy,黑眼星系
Evil Eye Galaxy,邪眼星系
Sleeping Beauty Galaxy,睡美人星系
The Southern Butterfly,南天蝴蝶星团
Coma B,后发座B
Z Coma Coma,后发座Z彗发星系
The Tweezers Galaxy,镊子星系
Waterbug Galaxy,田鳖星系
NGC 5044 group,NGC 5044星系群
Sunflower Galaxy,向日葵星系
Iota's Ghost,柱十一之魂
Centaurus A,半人马座A
The Hamburger Galaxy,汉堡星系
ω Cen Cluster,半人马座奥米茄星团
Spiral Planetary Nebula,螺旋行星状星云
Whirlpool Galaxy,涡状星系
Question Mark Galaxy,问号星系
Rosse's Galaxy,罗斯星系
Spiral Nebula,漩涡星云
Whirlpool Nebula,涡状星云
A Justifiable Replacement for M51,M51替代者
Keenan's System,基南系统
Thousand Rubies Galaxy,千红宝石星系
Seashell Galaxy,贝壳星系
NGC 5353 group,NGC 5353星系群
The Heron Galaxy,苍鹭星系
NGC 5416 group,NGC 5416星系群
Snowglobe Cluster,雪球星团
Ghost Globular Cluster,鬼魂球状星团
Dracula Cluster,德古拉星团
NGC 5629 group,NGC 5629星系群
Gypsy Moth Cluster,舞毒蛾星团
Blade and Pearl Galaxy,刃珠星系
The Mini Sombrero Galaxy,迷你墨西哥帽星系
Fool's Gold Galaxy,金钱游戏星系
Ghost of Uranus,天王星之魂星云
Fath 703,法思703
Rose Cluster,玫瑰星团
Splinter Galaxy,分裂星系
Cat Scratch Galaxy,猫爪星系
Knife Edge Galaxy,刀锋星系
Seyfert's Sextet,赛弗特六重星系
Serpens Sextet,巨蛇座六兄弟
S Nor Cluster,矩尺座S星团
Crab Globular Cluster,蟹状星团
Spider Globular Cluster,蜘蛛球状星团
Little Pincushion,小枕星团
The Crucifix Cluster,十字架星团
Rim Nebula,环星云
μ Normae Cluster,矩尺座μ星团
Great Star Cluster in Hercules,武仙座球状星团
Hercules Globular Cluster,武仙座大球状星团
Turtle Nebula,乌龟星云
Gumball Globular Cluster,口香糖球状星团
Prize Comet Globular Cluster,彗星奖球状星团
False Comet Nebula,伪彗星星云
Northern Jewel Box Cluster,北宝盒星团
Table of Scorpius Cluster,天蝎座表
Crocodile Cluster,鳄鱼星团
Flickering Globular Cluster,闪球星团
Moth Wing Cluster,蛾翼星团
Bug Nebula,小虫星云
Box Nebula,方盒星云
Exclamation Mark Nebula,感叹号星云
Cat's Paw Nebula,猫掌星云
Cheerio Nebula,麦圈星云
Lobster Nebula,龙虾星云
War and Peace Nebula,战争与和平星云
Little Ghost Nebula,小鬼魂星云
Ghost of Mars Nebula,火星之魂星云
Tonantzintla 1,托南钦特拉1球状星团
Phantom Cluster,幻影星团
Long John Silver Cluster,约翰·西尔弗星团
Splendors of the Heavens,天堂之辉
Silver Nugget Cluster,银块星团
Little Gem Nebula,小宝石星云
Tom Thumb Cluster,汤姆拇指星团
Ptolemy's Cluster,托勒密星团
Lost in Space Galaxy,太空迷航星系
Trifid Nebula,三裂星云
Dead Man's Chest Cluster,亡灵宝藏星团
Castaway Cluster,遇难者星团
Baade's Window,巴德窗
Lagoon Nebula,礁湖星云
Herschel 36,赫歇尔36
Hourglass Cluster,沙漏星团
Webb's Cross,韦伯的十字架
Red spider Nebula,红蜘蛛星云
Cacciatore Cluster,砂锅星团
Cat's Eye Nebula,猫眼星云
Sunflower Nebula,向日葵星云
Snail Nebula,蜗牛星云
Blue Racquetball Nebula,蓝壁球星云
Emerald Nebula,翡翠星云
Turquoise Orb Nebula,绿松石星云
Emerald Eye Planetary Nebula,祖母绿之眼行星状星云
Planet Krypton Nebula,氪星星云
Eagle Nebula,鹰星云
Star Queen Nebula,星之女王星云
Black Swan Cluster,黑天鹅星团
Omega Nebula,奥米茄星云
Swan Nebula,天鹅星云
Horseshoe Nebula,马蹄星云
Checkmark Nebula,核对符号星云
Edward's Galaxy,爱德华星系
Tweedledum Cluster,双胞胎星团
Captain Hook Cluster,胡克船长星团
Wasp-Waist Cluster,蜂腰星团
Tadpole Cluster,蝌蚪星团
Great Sagittarius Cluster,人马座大星团
Crackerjack Cluster,能人星团
Santa's Sleigh Cluster,圣诞雪橇星团
Teacup Cluster,茶杯星团
Wild Duck Cluster,野鸭星团
July Salt-and-Pepper Cluster,七月椒盐星团
Scutum Salt-and-Pepper Cluster,盾牌座椒盐星团
Flying Unicorn Cluster,飞独角兽星团
Ring Nebula,指环星云
Chandelier Cluster,吊灯星团
R CrA Nebula,南冕座R星云
Phantom Streak Nebula,幻影条纹星云
Bird's Head,鸟头星系
Dandelion Puffball Nebula,蒲公英星云
Glowing Eye Nebula,发光的眼睛星云
Pavo Globular Cluster,孔雀座球状星团
The Starfish,孔雀座海星
The Windmill,孔雀座风车
Possible Binary Cluster,可能的双星团
Pentagon,五角星系
Son of M76,M76之子
Snowball Nebula,雪球星云
Ghost of the Moon Nebula,月魂星云
Incredible Shrinking Nebula,收缩星云
Specter Cluster,幽灵星团
The Summer Rose Star,夏日玫瑰之星
Hole in a Cluster,洞穴星团
Nefertiti's headpiece,纳芙蒂蒂的头饰
Smoke Ring,烟圈星团
The Reliquary,圣物箱星团
Green Mars Nebula,绿火星星云
The Foxhead Cluster,狐头星团
Octopus Cluster,章鱼星团
Barnard's Galaxy,巴纳德星系
Hubble X,哈勃X
Blinking Planetary Nebula,眨眼行星状星云
Poodle Cluster,贵宾犬星团
Angelfish Cluster,神仙鱼星团
Arrowhead Cluster,箭矢星团
Klemola 30,克莱莫拉30
Dumbbell Nebula,哑铃星云
Diabolo Nebula,响铃星云
Apple Core Nebula,苹果核星云
Kite Cluster,风筝星团
Frigate (Pirate) Bird Cluster,军舰鸟星团
Condor Galaxy,秃鹰星系
20 Vulpeculae Cluster,狐狸座20星团
Crescent Nebula,眉月星云
Ear Nebula,耳星云
Little Ring Nebula,小指环星云
Diamond Ring Nebula,钻戒星云
Blue Flash Nebula,蓝闪星云
Caged Spirit Nebula,笼中之灵星云
Giant Behemoth Galaxy,巨兽星系
The Inchworm Cluster,尺蠖星团
The Rocking Horse Cluster,木马星团
Cooling Tower,冷却塔星团
Little Sisters,小姐妹星团
Ghost Bush Cluster,鬼套星团
Flying Geese Cluster,雁形星团
Silk Fan Cluster,绢扇星团
Mothra Cluster,魔斯拉星团
Fireworks Galaxy,烟花星系
Filamentary Nebula,纤维星云
West Veil Nebula,西面纱星云
Cirrus Nebula,卷毛星云
Witch's Broom Nebula,女巫扫帚星云
Veil Nebula,面纱星云
Fleming's Triangular Wisp,弗莱明三角星云
Witch's Broom Galaxy,女巫扫帚星系
East Veil Nebula,东面纱星云
Network Nebula,网星云
Bird's Nest,鸟巢
North America Nebula,北美洲星云
Fetus Nebula,胎儿星云
Coat Button Nebula,纽扣星云
Saturn Nebula,土星状星云
Iris Nebula,鸢尾花星云
Cheeseburger Nebula,乳酪汉堡星云
Burnham's Nebula,伯纳姆星云
Pink Pillow Nebula,粉枕星云
Magic Carpet Nebula,魔毯星云
Green Rectangle Nebula,绿矩星云
Sugar Pops Nebula,棒棒糖星云
Peek-a-Boo Nebula,躲猫猫星云
Pegasus Cluster,飞马座星团
Great Pegasus Cluster,飞马座大星团
Jellyfish Cluster,海蜇星团
Small Cluster Nebula,小星团星云
NGC 7129 IR Cluster,NGC 7129红外星团
Cosmic Rosebud,玫瑰花苞星云
Swimming Alligator Cluster,短吻鳄星团
Bruce Lee Cluster,李小龙星团
Star Lizard Cluster,飞蜥星团
Drunken Lizard Cluster,醉蜥星团
Atoms for Peace Galaxy,核和平星系
Helix Nebula,螺旋星云
Helical Nebula,上帝之眼
Stephan's Quintet,史蒂芬五重星系
Deer Lick Group,鹿舔星系群
The Wizard Nebula,巫师星云
Harry Potter and the Golden Snitch,哈利·波特和金色飞贼
NGC 7385 group,NGC 7385 星系群
Grand Design Galaxy,大设计星系
Superman Galaxy,超人星系
The Dormouse Cluster,睡鼠星团
The Arrowhead Cluster,箭矢星团
Northern Lagoon Nebula,北礁湖星云
Brain Nebula,脑星云
Grus Quartet,天鹤座四重星系
Grus Triplet,天鹤座三重星系
Bubble Nebula,气泡星云
Cassiopeia Salt-and-Pepper Cluster,仙后座椒盐星团
October Salt-and-Pepper Cluster,十月椒盐星团
The Scorpion Cluster,蝎状星团
Blue Snowball,蓝雪球星云
Copeland's Blue Snowball,科普兰的蓝雪球
Fried-egg Galaxy,荷包蛋星系
Caroline's Rose Cluster,卡洛琳玫瑰星团
Ghost Cluster,鬼魂星团
Star Mist Cluster,星雾星团
Herschel's Spiral Cluster,赫歇尔的螺旋星团
Crab Cluster,蟹星团
Screaming Skull Cluster,尖叫头骨星团
The Widow's Web Cluster,寡妇的网星团
Bond's Galaxy,邦德星系
The Little Sombrero Galaxy,小墨西哥帽星系
Electric Arc Galaxy,电弧星系
Starburst Galaxy,星爆星系
γ Cas Nebula,策星云
Maffei 1 Group,马费伊1星系群
ο Per Cloud,卷舌五星云
Gingrich 1,金里奇1
Barnard's Merope Nebula,巴纳德昴宿五星云
Flaming Star Nebula,火焰之星星云
Schaeberle's Flaming Star,舍贝勒的火焰之星
The Tadpoles,小蝌蚪星云
Spider Nebula,蜘蛛星云
Spirograph Nebula,万花尺星云
Raspberry Nebula,覆盆子星云
Colored Contacts Nebula,彩色隐形眼镜星云
Jellyfish Nebula,水母星云
Gemini A,双子座A
Papillon,蝴蝶犬星系
γ Cyg Nebula,天津一星云
ZW II 108 Group,ZW II 108星系群
Elephant's Trunk Nebula,象鼻星云
The Misty Clover Cluster,雾中三叶草星团
Fish Head Nebula,鱼头星云
Heart Nebula,心脏星云
The Running Dog Nebula,奔狗星云
Valentine Nebula,情人星云
AFGL 333 Cloud,AFGL 333星云
Witch Head Nebula,女巫头星云
IC 2199 group,IC 2199 星系群
Toby Jug Nebula,托比壶星云
ο Vel Cluster,船帆座ο星团
Browning Galaxy,布朗宁星系
Strings of Pearl Cluster,珍珠串星团
Hoopskirt Cluster,长裙星团
Coddington's Nebula,柯丁顿星云
Southern Pleiades,南天七姐妹星团
θ Car Cluster,南船三星团
The Rip-Torn Cluster,利普-托恩星团
Running Chicken Nebula,奔鸡星云
λ Cen Nebula,海山五星云
Thackeray's Globules,萨克雷的球
Lemon slice Nebula,柠檬片星云
Theoretician's Nebula,理论家星云
Baby Eskimo Nebula,爱斯基摩婴儿星云
Sliced Lime Nebula,柠檬切片星云
Retina Nebula,视网膜星云
Blue Horsehead Nebula,蓝马头星云
White-eyed Pea Nebula,白眼豌豆星云
ρ Oph Nebula,心宿增四星云
Antares Nebula,心宿二反射星云
Prawn Nebula,斑节虾星云
Summer Beehive Cluster,夏季蜂巢星团
Poseidon's Trident Cluster,海神三叉戟星团
Black Swallowtail Butterfly Cluster,黑燕尾蝶星团
Graff's Cluster,格拉夫星团
Tweedledee Cluster,双胞胎星团
Secret Garden Cluster,秘密花园星团
Shapley-Ames 5,夏普利-艾姆斯5
P Cyg Cluster,天鹅座P星团
Pelican Nebula,鹈鹕星云
Cocoon Nebula,茧星云
Spare Tyre Nebula,备胎星云
Southern Integral Sign,南积分号星系
Hourglass Region,沙漏区
Small Sagittarius Star Cloud,人马座恒星云
Delle Caustiche,散点星云
Winnecke 4,温内克4
Pleiades,昴星团
Seven Sisters,七姐妹星团
Subaru,昴宿星团
α Per Cluster,天船三星团
α Per Moving Group,天船三移动星团
Little Cloud of Pirates,海盗的小云星团
α Per Association,天船三星协
Wilk's Cluster,威尔克星团
Coma Berenices Cluster,后发座星团
Ariadne's Hair,阿里阿德涅之发
Thisbe's Veil,面纱星团
Cobweb Cluster,蜘蛛网星团
Flying Witch,飞女巫星团
Black Bart's Hair,黑巴特之发
Taurus Poniatovii Cluster,波尼亚托夫斯基的金牛座星团
Poniatowski's Bull Cluster,波尼亚托夫斯基的公牛星团
Taurus Dark Cloud Nebula,金牛座暗星云
Horsehead Nebula,马头星云
Pipe (stem),烟斗星云(杆)
Pipe Nebula,管星云
Ink Spot Nebula,墨汁星云
Snake Nebula,蛇星云
The S Nebula,S星云
Pipe (bowl),烟斗星云(斗)
Parrot's Head Nebula,鹦鹉头星云
Black Hole Nebula,黑洞星云
E Nebula,E星云
Barnard's E Nebula,巴纳德的E星云
Triple Cave Nebula,三穴星云
Fish on the platter nebula,鱼碟暗星云
Dark Wolf Nebula,黑狼星云
Hyades,毕星团
Coalsack Nebula,煤袋星云
Orion Cluster,猎户座星团
λ Ori Cluster,觜宿一星团
Aunt Margaret's Mirror,玛格丽特之镜星团
Orion Belt Cluster,猎户座腰带星团
Serpentine Column,蛇形柱星团
π Pup Cluster,弧矢九星团
Tuft in the Tail of the Dog Cluster,狗尾星团
Markarian 18 Cluster,马卡良18星团
η Car Cluster,海山二星团
Ursa Major Cluster,大熊座星团
Antares Cluster,心宿二星团
Coathanger,衣架星团
Al Sufi's Cluster,苏菲星团
Brocchi's Cluster,布洛契星团
Al-Sufi's Nebula,苏菲星云
The Snail,蜗牛星团
Loch Ness Moster Cluster,水怪星团
The Queen's Reflection,女王镜像
Atlas Nebula,昴宿七星云
T Tauri Nebula,金牛座T星云
Orion Loop Nebula,猎户座环状星云
R Aqr Nebula,宝瓶座R星云
Green Ring Nebula,绿环星云
Little Cocoon Nebula,小茧星云
Cygnus Star Cloud,天鹅座恒星云
Tulip Nebula,郁金香星云
Cygnus Loop,天鹅圈
Celestial Snow Angel,雪天使星云
Sadr Region,天津一区
Flying Dragon Nebula,飞龙星云
Flying Bat Nebula,飞蝙蝠星云
Lion Nebula,狮子星云
Cave Nebula,洞穴星云
Lobster Claw Nebula,龙虾钳星云
Californietto Nebula,加利福尼托星云
Dreyer's Object,德雷尔天体
Little Rosette Nebula,小玫瑰星云
Dolphin Nebula,海豚星云
Soul Nebula,灵魂星云
Second Closest Planetary,次近行星状星云
Spaghetti Nebula,面条星云
Simeis 147,西梅兹147
Lower's Nebula,拉沃尔星云
λ Ori Molecular Ring,觜宿一分子环
Angelfish Nebula,刺鲽鱼星云
Orion's Head Nebula,猎户座头部星云
North Orion Bubble,北猎户泡
Medusa Nebula,美杜莎星云
Barnard's Loop,巴纳德环
Barnard's Arc,巴纳德弧
Seagull Nebula,海鸥星云
Seagull's wings,海鸥的翅膀
Snowman Nebula,雪人星云
Etched Hourglass Nebula,蚀刻沙漏星云
Engraved Hourglass Nebula,沙漏星云
Dragon's Heart Nebula,龙心星云
Ghost Nebula,鬼魂星云
Dark Shark Nebula,黑鲨星云
Vulture Head Nebula,秃头星云
Baby Eagle Nebula,幼鹰星云
Orion B,猎户座B
Coalman Nebula,煤矿工星云
Northern Coalsack Nebula,北煤袋星云
Gulf of Mexico Nebula,墨西哥湾星云
Pazmino's Cluster,帕兹米诺星团
Taffy Galaxies,太妃糖星系
Taffy System,太妃糖系统
Wolf-Lundmark-Melotte Object (WLM),沃尔夫-隆达马克-梅洛帝星系 (WLM)
Sculptor Dwarf Irregular Galaxy,玉夫座矮不规则星系
Andromeda III Dwarf Galaxy,仙女座III矮星系
Cartwheel Galaxy,车轮星系
Cartwheel Ring Galaxy,车轮环星系
Zwicky's Ellipse,兹威基的椭圆
Exclamation Mark Galaxy,感叹号星系
Andromeda I Dwarf Galaxy,仙女座I矮星系
Baade's Galaxy A,巴德A星系
Baade's Galaxy B,巴德B星系
Sculptor Dwarf Galaxy,玉夫座矮星系
Sculptor System,玉夫座系统
Reticulum System,网状系统
Pisces Dwarf Galaxy,双鱼座矮星系
Pisces I,双鱼座I
Shapley-Ames 1,夏普利-艾姆斯 1
Andromeda II,仙女座 II
Andromeda II Dwarf Galaxy,仙女座II矮星系
White Rose Galaxy,白玫瑰星系
Phoenix Dwarf Galaxy,凤凰座矮星系
Schuster-West Cluster,舒斯特-韦斯特星团
Maffei 1,马费伊1
Maffei I,马费伊 I
Fornax Dwarf Galaxy,天炉座矮星系
Fornax System,天炉座星系
Maffei 2,马费伊2
Maffei II,马费伊 II
Holmberg VI,霍姆伯格VI
E1 Cluster,E1星团
Schuster's Spiral Galaxy,舒斯特螺旋星系
Horologium Dwarf Galaxy,时钟座矮星系
Carafe Nebula,雕具座星云
Large Magellanic Cloud,大麦哲伦云
LMC,LMC
Nubecula Major,大麦云
Orion Dwarf Galaxy,猎户座矮星系
Carina Dwarf Galaxy,船底座矮星系
Southern Ellipse,南椭圆星系
Lindsay-Shapley Ring,林赛-夏普利戒指
Graham A,格雷厄姆A
Argo Dwarf Irregular Galaxy,南船座矮不规则星系
Integral Sign Galaxy,积分号星系
Phoenix Galaxy,凤凰座星系
Holmberg II,霍姆伯格II
M81 Dwarf A,M81 A矮星系
Holmberg III,霍姆伯格III
Grasshopper A,蝗虫A
Hydra A,长蛇座A
Holmberg I,霍姆伯格I
Holmberg IX,霍姆伯格IX
Arp Loop,Arp环
Sextans B,六分仪座B
Revolver Galaxy,左轮手枪星系
Antlia Dwarf Galaxy,唧筒座矮星系
M81 Dwarf B,M81 B矮星系
Vela Ring Galaxy,船帆座环星系
Sextans A,六分仪座A
Haro II,哈罗II
Spider Galaxy,蜘蛛星系
Ant Galaxy,蚂蚁星系
Mayall's Object,马亚尔天体
Leo II Dwarf Galaxy,狮子座II矮星系
Leo B,狮子座B
Harrington-Wilson #2,哈灵顿-威尔逊#2
Arp's Galaxy,埃尔普星系
A Flying Bird,飞鸟星系
Wild's Triplet,狂野三重星系
Syphon,虹吸管
Reinmuth 80,雷睦斯80
Holmberg VII,霍姆伯格VII
Malin 1,马琳1
Shapley-Ames 3,夏普利-艾姆斯3
Shapley-Ames 4,夏普利-艾姆斯4
Imprint of a Foot Galaxy,脚印星系
Hardcastle's Galaxy,哈德卡斯特星系
Holmberg VIII,霍姆伯格VIII
Fourcade-Figueroa Object,佛洛卡德-菲格罗亚天体
Fourcade-Figueroa Galaxy,佛洛卡德-菲格罗亚星系
Holmberg V,霍姆伯格V
Holmberg IV,霍姆伯格IV
The Dentist's Chair,牙医的椅子
Circinus Galaxy,圆规座星系
Segner's Wheel,塞格纳轮盘星系
Ursa Minor Dwarf Galaxy,小熊座矮星系
Hoag's Object,霍格天体
Hooked Galaxy,钩状星系
Kathryn's Wheel,凯瑟琳之轮
Zwicky's Triplet,兹维基三重星系
Hercules A,武仙座A
Draco Dwarf Galaxy,天龙座矮星系
The Bird,鸟星系
Sagittarius Dwarf Galaxy,人马座矮不规则星系
Kowal's Object,科瓦尔天体
Aquarius Dwarf Galaxy,宝瓶座矮星系
Cygnus A,天鹅座A
McLeish's Object,麦克莱什天体
Shapley-Ames 6,夏普利-艾姆斯6
Huchra's Lens,赫钦拉透镜星系
Tucana Dwarf Galaxy,杜鹃座矮星系
Pegasus Dwarf Galaxy,飞马座矮星系
Barbon's Galaxy,巴尔伯恩星系
Minkowski's Object,闵可夫斯基天体
Superantennae Galaxy,超级触角星系
Malin II,马林II
Sextans Dwarf Spheroidal Galaxy,六分仪座矮椭球星系
Padova 3,帕多瓦 3
Mailyan 16,迈尔因16
Cassiopeia 1,仙后座1星系
Cassiopeia 2,仙后座2星系
Dwingeloo I,德文格洛1
Speca Galaxy,辣椒星系
Sextans Ring,六分仪座环
Ring Galaxy in Sextans,六分仪座环状星系
Camelopardalis A,鹿豹座A
Camelopardalis B,鹿豹座B
Cassiopeia Dwarf Spheroidal Galaxy,仙后座矮椭球星系
Andromeda VII,仙女座VII
Pegasus II,飞马座II
Andromeda VI,仙女座VI
Boomerang Nebula,旋镖星云
Centaurus Bipolar Nebula,半人马座双极星云
Cepheus I,仙王座I
Cetus Dwarf Galaxy,鲸鱼座矮星系
BW Tauri,金牛座BW
The Grasshopper Galaxy,蝗虫星系
Leo A,狮子座A
Leo III,狮子座III
Leo Dwarf Irregular Galaxy,狮子座矮不规则星系
Sextans C,六分仪座C
Regulus Dwarf Galaxy,轩辕十四矮星系
Leo I,狮子座I
Harrington-Wilson #1,哈灵顿-威尔逊#1
Markarian 421,马卡良421
Zwicky #2,兹维基#2
Markarian 231,马卡良231
Exclamation Point Galaxy,惊叹号星系
Serpens Dwarf Galaxy,巨蛇座矮星系
Tadpole Galaxy,蝌蚪星系
Egg Nebula,蛋星云
Cygnus Egg,天鹅蛋星云
Pegasus Dwarf Irregular Galaxy,飞马座矮不规则星系
Lemon Galaxy,柠檬星系
Minkowski's Butterfly,闵可夫斯基的蝴蝶
Twin Jet Nebula,双喷流星云
Campbell's Hydrogen Star,坎贝尔氢星
Methuselah Nebula,玛土撒拉星云
Baby Dumbbell Nebula,婴儿哑铃星云
Headphone Nebula,耳罩星云
Jones-Emberson 1,琼斯-爱默生1
Westbrook Nebula,威斯布鲁克星云
Southern Owl Nebula,南夜枭星云
Southern Crab Nebula,南蟹状星云
Fine Ring Nebula,细指环星云
The Chamber of Horrors,恐怖之屋
Stingray Nebula,刺魟星云
Water Lily Nebula,睡莲花星云
Sakurai's Object,樱井之星
Necklace Nebula,项链星云
Cotton Candy Nebula,棉花糖星云
Haufen A,哈芬A星系群
Cetus Cluster,鲸鱼座星系团
Perseus Cluster,英仙座星系团
Train Wreck Cluster,火车残骸星系团
Hydra Cluster,长蛇座星系团
Hydra I,长蛇座1
Leo Cluster,狮子座星系团
Ursa Major I,大熊座1星系群
Coma Cluster,后发座星系团
Bootes Cluster,牧夫座星系团
Corona Borealis Cluster,北冕座星系团
Hercules Cluster,武仙座星系团
Pandora’s Cluster,潘多拉星系团
Centaurus Cluster,半人马座星系团
Shapley 8 Cluster,夏普利8星系团
Norma Cluster,矩尺座星系团
Great Attractor,巨引源
Fornax Cluster,天炉座星系团
Fornax Group,天炉座星系群
NGC 1399 Group,NGC1399星系群
Antlia Cluster,唧筒座星系团
Cosmic Six Nebula,宇宙六号星云
E3 Cluster,E3星团
Hodge 11,霍奇11
Hodge 4,霍奇4
Sersic Cluster,赛尔斯克星团
Reticulum Cluster,网罟座星团
Reticulum Dwarf Galaxy,网罟座矮星系
E2 Cluster,E2星团
Padova 2,帕多瓦2
Sacred Mushroom,神圣蘑菇星系
Bok's Valentine Nebula,博科的情人星云
Pictor A,绘架座A
Ara Cluster,天坛座星团
Tonantzintla 2,托南钦特拉2球状星团
Capricorn Dwarf Galaxy,摩羯座矮星系
Manatee Nebula,海牛星云
Tycho's supernova remnant,第谷超新星残骸
Puppis A,船尾座A
Vela Junior,船帆座幼体
Inverted Horseshoe Nebula,倒马蹄星云
Propeller Nebula,螺旋桨星云
Calabash Nebula,葫芦星云
Rotten Egg Nebula,臭蛋星云
Frosty Leo Nebula,霜狮星云
Gomez's Hamburger,戈麦斯汉堡
Footprint Nebula,脚印星云
Minkowski's Footprint,闵可夫斯基的足迹
Sagittarius A East,人马座A东星
Sagittarius A West,人马座A西星
Minispiral in Gal Center,银心微形螺旋结构
Dark Doodad Nebula,黑饰品星云
The Bamboo,竹子
Path of Three,三星之路
Bird of Flight,飞鸟
The Tongs,夹钳
Octopus Tentacle,章鱼的触手
Forward Precursor, 前进的先驱者
Adze,锛斧
The Carrying Stick,手杖
Sammara Squirrelfish,转世的金鳞鱼
Taro Plant,芋艿
The Net,网兜
Te Tino A Manu,Te Tino A Manu
The Bird's Body,鸟身
Te Kapakau Tonga,Te Kapakau Tonga
The East Wing,东部的翅膀
Te Kapakau Pakatokerau,Te Kapakau Pakatokerau
The North Wing,北方的翅膀
Te Taki O Te Kapakau Tonga,Te Taki O Te Kapakau Tonga
Taki Roto,Taki Roto
Middle Precursor,中间的先驱者
Na Kau,Na Kau
To Rua Tangata,To Rua Tangata
Double Man,两个人
Te Petuu Ao/Tiuriuri,Te Petuu Ao/Tiuriuri
Matariki,Matariki
Small Face,小脸蛋
Small Eyes,小眼睛
Te Ao Rere,Te Ao Rere
The Running Cloud,流动的云
Te Ao Toka,Te Ao Toka
The Restrained Cloud,受缚的云
The Shackled Woman,修女座
The Well-bucket,井桶座
The Eagle,老鹰座
The Censer,香炉座
The Ram,公羊座
The Reins-holder,持缰者座
