source (en),translation (zh_CN)
Cheerio Nebula,麦圈星云
Lobster Nebula,龙虾星云
War and Peace Nebula,战争与和平星云
Little Ghost Nebula,小鬼魂星云
Ghost of Mars Nebula,火星之魂星云
Little Gem Nebula,小宝石星云
Trifid Nebula,三裂星云
Lagoon Nebula,礁湖星云
Red spider Nebula,红蜘蛛星云
Cat's Eye Nebula,猫眼星云
Sunflower Nebula,向日葵星云
Snail Nebula,蜗牛星云
Blue Racquetball Nebula,蓝壁球星云
Emerald Nebula,翡翠星云
Turquoise Orb Nebula,绿松石星云
Emerald Eye Planetary Nebula,祖母绿之眼行星状星云
Planet Krypton Nebula,氪星星云
Eagle Nebula,鹰星云
Star Queen Nebula,星之女王星云
Omega Nebula,奥米茄星云
Swan Nebula,天鹅星云
Horseshoe Nebula,马蹄星云
Checkmark Nebula,核对符号星云
Ring Nebula,指环星云
R CrA Nebula,南冕座R星云
Phantom Streak Nebula,幻影条纹星云
Dandelion Puffball Nebula,蒲公英星云
Glowing Eye Nebula,发光的眼睛星云
Snowball Nebula,雪球星云
Ghost of the Moon Nebula,月魂星云
Incredible Shrinking Nebula,收缩星云
Green Mars Nebula,绿火星星云
Blinking Planetary Nebula,眨眼行星状星云
Dumbbell Nebula,哑铃星云
Diabolo Nebula,响铃星云
Apple Core Nebula,苹果核星云
Crescent Nebula,眉月星云
Ear Nebula,耳星云
Little Ring Nebula,小指环星云
Diamond Ring Nebula,钻戒星云
Blue Flash Nebula,蓝闪星云
Caged Spirit Nebula,笼中之灵星云
Filamentary Nebula,纤维星云
West Veil Nebula,西面纱星云
Cirrus Nebula,卷毛星云
Witch's Broom Nebula,女巫扫帚星云
Veil Nebula,面纱星云
Fleming's Triangular Wisp,弗莱明三角星云
East Veil Nebula,东面纱星云
Network Nebula,网星云
North America Nebula,北美洲星云
Fetus Nebula,胎儿星云
Coat Button Nebula,纽扣星云
Saturn Nebula,土星状星云
Iris Nebula,鸢尾花星云
Cheeseburger Nebula,乳酪汉堡星云
Burnham's Nebula,伯纳姆星云
Pink Pillow Nebula,粉枕星云
Magic Carpet Nebula,魔毯星云
Green Rectangle Nebula,绿矩星云
Sugar Pops Nebula,棒棒糖星云
Peek-a-Boo Nebula,躲猫猫星云
Small Cluster Nebula,小星团星云
Cosmic Rosebud,玫瑰花苞星云
Helix Nebula,螺旋星云
The Wizard Nebula,巫师星云
Northern Lagoon Nebula,北礁湖星云
Brain Nebula,脑星云
Bubble Nebula,气泡星云
Blue Snowball,蓝雪球星云
γ Cas Nebula,策星云
ο Per Cloud,卷舌五星云
Barnard's Merope Nebula,巴纳德昴宿五星云
Flaming Star Nebula,火焰之星星云
The Tadpoles,小蝌蚪星云
Spider Nebula,蜘蛛星云
Spirograph Nebula,万花尺星云
Raspberry Nebula,覆盆子星云
Colored Contacts Nebula,彩色隐形眼镜星云
Jellyfish Nebula,水母星云
γ Cyg Nebula,天津一星云
Elephant's Trunk Nebula,象鼻星云
Fish Head Nebula,鱼头星云
Heart Nebula,心脏星云
The Running Dog Nebula,奔狗星云
Valentine Nebula,情人星云
AFGL 333 Cloud,AFGL 333星云
Witch Head Nebula,女巫头星云
Toby Jug Nebula,托比壶星云
Coddington's Nebula,柯丁顿星云
Running Chicken Nebula,奔鸡星云
λ Cen Nebula,海山五星云
Lemon slice Nebula,柠檬片星云
Theoretician's Nebula,理论家星云
Baby Eskimo Nebula,爱斯基摩婴儿星云
Sliced Lime Nebula,柠檬切片星云
Retina Nebula,视网膜星云
Blue Horsehead Nebula,蓝马头星云
White-eyed Pea Nebula,白眼豌豆星云
ρ Oph Nebula,心宿增四星云
Antares Nebula,心宿二反射星云
Prawn Nebula,斑节虾星云
Pelican Nebula,鹈鹕星云
Cocoon Nebula,茧星云
Spare Tyre Nebula,备胎星云
Small Sagittarius Star Cloud,人马座恒星云
Delle Caustiche,散点星云
Taurus Dark Cloud Nebula,金牛座暗星云
Horsehead Nebula,马头星云
Pipe (stem),烟斗星云(杆)
Pipe Nebula,管星云
Ink Spot Nebula,墨汁星云
Snake Nebula,蛇星云
The S Nebula,S星云
Pipe (bowl),烟斗星云(斗)
Parrot's Head Nebula,鹦鹉头星云
Black Hole Nebula,黑洞星云
E Nebula,E星云
Barnard's E Nebula,巴纳德的E星云
Triple Cave Nebula,三穴星云
Fish on the platter nebula,鱼碟暗星云
Dark Wolf Nebula,黑狼星云
Coalsack Nebula,煤袋星云
Al-Sufi's Nebula,苏菲星云
Atlas Nebula,昴宿七星云
T Tauri Nebula,金牛座T星云
Orion Loop Nebula,猎户座环状星云
R Aqr Nebula,宝瓶座R星云
Green Ring Nebula,绿环星云
Little Cocoon Nebula,小茧星云
Cygnus Star Cloud,天鹅座恒星云
Tulip Nebula,郁金香星云
Celestial Snow Angel,雪天使星云
Flying Dragon Nebula,飞龙星云
Flying Bat Nebula,飞蝙蝠星云
Lion Nebula,狮子星云
Cave Nebula,洞穴星云
Lobster Claw Nebula,龙虾钳星云
Californietto Nebula,加利福尼托星云
Little Rosette Nebula,小玫瑰星云
Dolphin Nebula,海豚星云
Soul Nebula,灵魂星云
Second Closest Planetary,次近行星状星云
Spaghetti Nebula,面条星云
Lower's Nebula,拉沃尔星云
Angelfish Nebula,刺鲽鱼星云
Orion's Head Nebula,猎户座头部星云
Medusa Nebula,美杜莎星云
Seagull Nebula,海鸥星云
Snowman Nebula,雪人星云
Etched Hourglass Nebula,蚀刻沙漏星云
Engraved Hourglass Nebula,沙漏星云
Dragon's Heart Nebula,龙心星云
Ghost Nebula,鬼魂星云
Dark Shark Nebula,黑鲨星云
Vulture Head Nebula,秃头星云
Baby Eagle Nebula,幼鹰星云
Coalman Nebula,煤矿工星云
Northern Coalsack Nebula,北煤袋星云
Gulf of Mexico Nebula,墨西哥湾星云
Carafe Nebula,雕具座星云
Boomerang Nebula,旋镖星云
Centaurus Bipolar Nebula,半人马座双极星云
Egg Nebula,蛋星云
Cygnus Egg,天鹅蛋星云
Twin Jet Nebula,双喷流星云
Methuselah Nebula,玛土撒拉星云
Baby Dumbbell Nebula,婴儿哑铃星云
Headphone Nebula,耳罩星云
Westbrook Nebula,威斯布鲁克星云
Southern Owl Nebula,南夜枭星云
Southern Crab Nebula,南蟹状星云
Fine Ring Nebula,细指环星云
Stingray Nebula,刺魟星云
Water Lily Nebula,睡莲花星云
Necklace Nebula,项链星云
Cotton Candy Nebula,棉花糖星云
Cosmic Six Nebula,宇宙六号星云
Bok's Valentine Nebula,博科的情人星云
Manatee Nebula,海牛星云
Inverted Horseshoe Nebula,倒马蹄星云
Propeller Nebula,螺旋桨星云
Calabash Nebula,葫芦星云
Rotten Egg Nebula,臭蛋星云
Frosty Leo Nebula,霜狮星云
Footprint Nebula,脚印星云
Dark Doodad Nebula,黑饰品星云
