ID,±êÊ¶,M±êÊ¶,ÍØÕ¹Ãû,×é¼þ,Class,ÒµÓàÅÅÃû,ÖÐÎÄÃû,ÀàÐÍ,º¬ÖØ¸´ÀàÐÍ,ÐÎÌ¬,ÐÇ×ù(Zh),ÐÇ×ù(En),³à¾­(J2000),³à¾­D(J2000),³àÎ³(J2000),³àÎ³D(J2000),¿É¼û¹âÐÇµÈV,ÉãÓ°(À¶¹â)ÐÇµÈB,B-V,±íÃæÁÁ¶È(mag/arcmin2),³¤Öá(·Ö),¶ÌÖá(·Ö),·½Î»½Ç,ÏêÏ¸ÃèÊö,¼òÂÔÃèÊö
3791,NGC3791,NGC3791,,,III 609,15,,Gxy,Gxy,S0,¾Þ¾ô×ù,CRT,11h39m41.6s,11.66155556,-9h22m0s,-9.366666667,13.4,14.4,1,13.7,1.4,1,164,,"vF, vS, R, gbM, * 8 s 6'"
3792,NGC3792,NGC3792,,,,19,,Star(s),Star(s),*2,ÊÒÅ®×ù,VIR,11h39m38.5s,11.66069444,+5h6m0s,5.1,99,99,99,99,,,,"very faint, diffuse","vF, dif"
3793,NGC3793,NGC3793,,,,19,,Star(s),Star(s),*,´óÐÜ×ù,UMA,11h40m2s,11.66722222,+31h52m41s,31.87805556,99,13.7,99,99,,,,,"vS, f h 932"
3794,NGC3794,NGC3794,,,III 773,15,,Gxy,Gxy,SBc,´óÐÜ×ù,UMA,11h40m54s,11.68166667,+56h12m6s,56.20166667,12.9,13.6,0.7,14,2.2,1.5,120,,"cF, pS, vS * v nr"
3795,NGC3795,NGC3795,,,III 844,15,,Gxy,Gxy,Sbc,´óÐÜ×ù,UMA,11h40m6.7s,11.66852778,+58h36m45s,58.6125,13.2,14,0.8,13.1,2.1,0.5,53,"very faint, small, much extended","vF, S, mE"
3796,NGC3796,NGC3796,,,II 839,15,,Gxy,Gxy,S?,´óÐÜ×ù,UMA,11h40m31s,11.67527778,+60h17m56s,60.29888889,12.6,13.5,0.9,12.6,1.3,0.9,127,"faint, considerably small, round, much brighter middle","F, cS, R, mbM"
3797,NGC3797,NGC3797,,,,19,,Star(s),Star(s),*,´óÐÜ×ù,UMA,11h40m13.4s,11.67038889,+31h54m23s,31.90638889,99,14.7,99,99,,,,,"vS, f h 932"
3798,NGC3798,NGC3798,,,II 340,15,,Gxy,Gxy,SB0,Ê¨×Ó×ù,LEO,11h40m13.9s,11.67052778,+24h41m49s,24.69694444,12.1,13.1,1,13.1,2.3,1.2,60,"faint, considerably small, a little extended, stellar, mottled but not resolved","F, cS, lE, stellar, r"
3799,NGC3799,NGC3799,,,,16,,Gxy,Gxy,SBb/P,Ê¨×Ó×ù,LEO,11h40m9.3s,11.66925,+15h19m39s,15.3275,13.9,14.7,0.8,12.4,0.7,0.5,114,"considerably faint, round, western of 2","cF, R, p of 2"
3800,NGC3800,NGC3800,,,II 103,15,,Gxy,Gxy,SBb/P,Ê¨×Ó×ù,LEO,11h40m13.3s,11.67036111,+15h20m32s,15.34222222,12.7,13.5,0.8,12.7,2,0.6,52,"faint, pretty small, extended, pretty gradually a little brighter middle, mottled but not resolved, eastern of 2","F, pS, E, pglbM, r, f of 2"
3801,NGC3801,NGC3801,,,"II 161, III 30",15,,Gxy,Gxy,S0,Ê¨×Ó×ù,LEO,11h40m16.8s,11.67133333,+17h43m39s,17.7275,12,13,1,14.1,2.5,1.6,120,"pretty faint, pretty large, round, brighter middle, mottled but not resolved, 2nd of 3","pF, pL, R, bM, r, 2nd of 3"
3802,NGC3802,NGC3802,,,,16,,Gxy,Gxy,Sc,Ê¨×Ó×ù,LEO,11h40m18.7s,11.67186111,+17h45m55s,17.76527778,13.3,14.3,1,11.8,1.1,0.3,85,,"vF, pS, r, 2 vB st p, 3rd of 3"
3803,NGC3803,NGC3803,,,,18,,Gxy,Gxy,E0,Ê¨×Ó×ù,LEO,11h40m17.3s,11.67147222,+17h48m6s,17.80166667,15.5,16.5,1,13.6,0.4,0.4,,"very faint, small, round","vF, S, R"
3804,NGC3804,NGC3804,,,II 830,12,,Gxy,Dup,SBc,´óÐÜ×ù,UMA,11h40m54s,11.68166667,+56h12m6s,56.20166667,12.9,13.6,0.7,14,2.2,1.5,120,"pretty bright, extended","pB, E"
3805,NGC3805,NGC3805,,,III 375,15,,Gxy,Gxy,E-S0,Ê¨×Ó×ù,LEO,11h40m41.6s,11.67822222,+20h20m37s,20.34361111,12.7,13.7,1,13.2,1.4,1.1,60,"considerably bright, considerably small, round, brighter middle, mottled but not resolved","cB, cS, R, bM, r"
3806,NGC3806,NGC3806,,,,18,,Gxy,Gxy,SBb,Ê¨×Ó×ù,LEO,11h40m46.7s,11.67963889,+17h47m44s,17.79555556,13.6,14.2,0.6,14.2,2.2,1.8,169,,"F, pL, * 9¡¤10 s 5'"
3807,NGC3807,NGC3807,,,,18,,Star(s),Star(s),*,Ê¨×Ó×ù,LEO,11h40m54.7s,11.68186111,+17h49m7s,17.81861111,16,17.1,99,99,,,,,"vF, S, R (? vF *)"
3808,NGC3808,NGC3808,,,III 338,15,,Gxy,Gxy,SBc/P,Ê¨×Ó×ù,LEO,11h40m44s,11.67888889,+22h25m47s,22.42972222,13.5,14.1,0.6,13.7,1.6,0.9,0,"very faint, very small","vF, vS"
3809,NGC3809,NGC3809,,,,18,,Gxy,Gxy,S0,´óÐÜ×ù,UMA,11h41m15.9s,11.68775,+59h53m10s,59.88611111,12.7,13.7,1,12.3,1,0.8,123,"pretty bright, small, round, gradually a little brighter middle","pB, S, R, glbM"
3810,NGC3810,NGC3810,,,I 21,6,,Gxy,Gxy,Sc,Ê¨×Ó×ù,LEO,11h40m58.6s,11.68294444,+11h28m13s,11.47027778,10.8,11.4,0.6,13.4,4.3,3,15,"bright, large, very little extended","B, L, vlE"
3811,NGC3811,NGC3811,,,II 737,15,,Gxy,Gxy,SBc/P,´óÐÜ×ù,UMA,11h41m16.5s,11.68791667,+47h41m28s,47.69111111,12.3,12.9,0.6,13.6,2.2,1.7,160,"faint, small, very little extended, gradually a little brighter middle","F, S, vlE, glbM"
3812,NGC3812,NGC3812,,,III 320,15,,Gxy,Gxy,E1,Ê¨×Ó×ù,LEO,11h41m7.8s,11.6855,+24h49m21s,24.8225,12.4,13.4,1,13.4,1.7,1.6,63,,"cF, vS, R, 1st of 3, * 6 sf 3'"
3813,NGC3813,NGC3813,,,I 94,6,,Gxy,Gxy,Sb,´óÐÜ×ù,UMA,11h41m18.5s,11.68847222,+36h32m48s,36.54666667,11.7,12.2,0.5,12.5,2,1,87,,"cB, pL, pmE 90¡ã ¡À, bM"
3814,NGC3814,NGC3814,,,,19,,Gxy,Gxy,S0,Ê¨×Ó×ù,LEO,11h41m27.7s,11.69102778,+24h48m20s,24.80555556,14.7,15.7,1,13.2,0.9,0.3,174,,"vS, nebs *, p III 339"
3815,NGC3815,NGC3815,,,III 339,15,,Gxy,Gxy,Sab,Ê¨×Ó×ù,LEO,11h41m39.3s,11.69425,+24h48m1s,24.80027778,13,13.8,0.8,13.3,1.7,0.9,72,"considerably faint, small, 3rd of 3","cF, S, 3rd of 3"
3816,NGC3816,NGC3816,,,,18,,Gxy,Gxy,S0,Ê¨×Ó×ù,LEO,11h41m47.8s,11.69661111,+20h6m13s,20.10361111,12.5,13.5,1,13.2,1.9,1.1,70,"faint, small, brighter middle","F, S, bM"
3817,NGC3817,NGC3817,,,,8.5,,Gxy,Gxy,SB0-a,ÊÒÅ®×ù,VIR,11h41m52.8s,11.698,+10h18m16s,10.30444444,13.3,14.3,1,13.1,1,0.9,140,"faint, 1st of 4","F, 1st of 4"
3818,NGC3818,NGC3818,,,III 284,13,,Gxy,Gxy,E6,ÊÒÅ®×ù,VIR,11h41m57.3s,11.69925,-6h9m20s,-6.155555556,11.7,12.7,1,12.7,2,1.2,103,"faint, pretty small, round, pretty suddenly brighter middle","F, pS, R, psbM"
3819,NGC3819,NGC3819,,,,16,,Gxy,Gxy,E1,Ê¨×Ó×ù,LEO,11h42m5.8s,11.70161111,+10h21m6s,10.35166667,13.8,14.8,1,12.6,0.8,0.7,136,"very faint, 2nd of 4","vF, 2nd of 4"
3820,NGC3820,NGC3820,,,,18,,Gxy,Gxy,Sbc,Ê¨×Ó×ù,LEO,11h42m4.8s,11.70133333,+10h23m4s,10.38444444,14.5,15.3,0.8,12.7,0.7,0.4,35,,"eF, vS, h 950 s"
3821,NGC3821,NGC3821,,,III 376,15,,Gxy,Gxy,SBab,Ê¨×Ó×ù,LEO,11h42m9s,11.7025,+20h18m55s,20.31527778,12.9,13.7,0.8,13.4,1.4,1.3,165,"very faint, considerably small, round, brighter middle, between 2 stars","vF, cS, R, bM, bet 2 st"
3822,NGC3822,NGC3822,,,II 153,15,,Gxy,Dup,S0,ÊÒÅ®×ù,VIR,11h42m11.1s,11.70308333,+10h16m41s,10.27805556,13.1,14,0.9,13.1,1.4,0.8,178,"pretty faint, pretty small, 3rd of 4","pF, pS, 3rd of 4"
3823,NGC3823,NGC3823,,1,,16,,Gxy,Gxy,E1,¾Þ¾ô×ù,CRT,11h42m15.1s,11.70419444,-13h52m0s,-13.86666667,12.7,13.7,1,13.5,1.5,1.3,88,"faint, considerably small, a little extended, pretty suddenly a little brighter middle","F, cS, lE, pslbM"
3824,NGC3824,NGC3824,,,III 774,15,,Gxy,Gxy,Sa,´óÐÜ×ù,UMA,11h42m44.8s,11.71244444,+52h46m48s,52.78,13.6,14.5,0.9,13.3,1.3,0.7,118,"very faint, considerably small, pretty much extended","vF, cS, pmE"
3825,NGC3825,NGC3825,,,II 154,15,,Gxy,Dup,SBa,ÊÒÅ®×ù,VIR,11h42m23.8s,11.70661111,+10h15m53s,10.26472222,13,14,1,13.2,1.3,1,160,"pretty faint, pretty small, 4th of 4","pF, pS, 4th of 4"
3826,NGC3826,NGC3826,,,II 341,15,,Gxy,Gxy,E2,Ê¨×Ó×ù,LEO,11h42m32.9s,11.70913889,+26h29m21s,26.48916667,13.4,14.4,1,12.9,0.9,0.7,65,"pretty faint, small, round, pretty suddenly brighter middle, stellar","pF, S, R, psbM, stellar"
3827,NGC3827,NGC3827,,,,18,,Gxy,Gxy,Sm,Ê¨×Ó×ù,LEO,11h42m36.2s,11.71005556,+18h50m43s,18.84527778,13.3,13.8,0.5,12.8,0.9,0.8,65,"faint, small, a little brighter middle","F, S, lbM"
3828,NGC3828,NGC3828,,,,19,,Gxy,Gxy,S,Ê¨×Ó×ù,LEO,11h42m58.3s,11.71619444,+16h29m16s,16.48777778,14.8,15.6,0.8,13.7,0.8,0.5,30,"very faint, small, diffuse","vF, S, dif"
3829,NGC3829,NGC3829,,,III 775,15,,Gxy,Gxy,SBb,´óÐÜ×ù,UMA,11h43m27.3s,11.72425,+52h42m41s,52.71138889,14,14.8,0.8,13.3,1,0.6,113,"very faint, very small","vF, vS"
3830,NGC3830,NGC3830,,,,16,,Gxy,Dup,E2,Ê¨×Ó×ù,LEO,11h42m32.9s,11.70913889,+26h29m21s,26.48916667,13.4,14.4,1,12.9,0.9,0.7,65,extremely faint,eF
3831,NGC3831,NGC3831,,,,16,,Gxy,Gxy,S0-a/P,¾Þ¾ô×ù,CRT,11h43m18.6s,11.72183333,-12h52m41s,-12.87805556,12.7,13.6,0.9,13.1,2.7,0.6,23,"faint, very small, round, brighter middle","F, vS, R, bM"
3832,NGC3832,NGC3832,,,III 340,15,,Gxy,Gxy,SBc,Ê¨×Ó×ù,LEO,11h43m31.4s,11.72538889,+22h43m31s,22.72527778,13,13.6,0.6,14.1,1.9,1.6,120,,"vF, pL, 2 suspected neb nr"
3833,NGC3833,NGC3833,,,III 102,15,,Gxy,Gxy,Sc,ÊÒÅ®×ù,VIR,11h43m28.9s,11.72469444,+10h9m41s,10.16138889,13.5,14.2,0.7,13.3,1.4,0.7,27,"extremely faint, pretty small","eF, pS"
3834,NGC3834,NGC3834,,,,18,,Gxy,Gxy,S,Ê¨×Ó×ù,LEO,11h43m37.7s,11.72713889,+19h5m26s,19.09055556,13.5,14.3,0.8,13.7,1.4,1,129,,"vF, vS, slbMN * 13"
3835,NGC3835,NGC3835,,,,16,,Gxy,Gxy,Sab,´óÐÜ×ù,UMA,11h44m5s,11.73472222,+60h7m13s,60.12027778,12.4,13.2,0.8,12.7,1.8,0.7,60,,"pB, E, gbM, ** 8 sf 5'"
3836,NGC3836,NGC3836,,,,19,,Gxy,Gxy,Sb,¾Þ¾ô×ù,CRT,11h43m29.8s,11.72494444,-16h47m51s,-16.7975,12.9,13.7,0.8,13.4,1.4,1.3,33,"faint, small, faint star close to north","F, S, F * close n"
3837,NGC3837,NGC3837,,,III 377,15,,Gxy,Gxy,E0,Ê¨×Ó×ù,LEO,11h43m56.6s,11.73238889,+19h53m41s,19.89472222,13.3,14.3,1,12.2,0.8,0.8,,"considerably faint, small, round, 1st of 5","cF, S, R, 1st of 5"
3838,NGC3838,NGC3838,,,II 831,15,,Gxy,Gxy,S0-a,´óÐÜ×ù,UMA,11h44m13.4s,11.73705556,+57h56m55s,57.94861111,12.3,13.3,1,12.2,1.4,0.6,141,,"pB, cS, E, psbM * 12"
3839,NGC3839,NGC3839,,,,19,,Gxy,Gxy,Sd,Ê¨×Ó×ù,LEO,11h43m54.4s,11.73177778,+10h47m4s,10.78444444,13.3,13.9,0.6,12.4,1,0.5,87,"very faint, small, round, a little brighter middle","vF, S, R, lbM"
3840,NGC3840,NGC3840,,,,18,,Gxy,Gxy,Sa,Ê¨×Ó×ù,LEO,11h43m59s,11.73305556,+20h4m37s,20.07694444,13.8,14.5,0.7,13.5,1.1,0.8,67,"faint, small, a little extended","F, S, lE"
3841,NGC3841,NGC3841,,,,16,,Gxy,Gxy,E?,Ê¨×Ó×ù,LEO,11h44m2.1s,11.73391667,+19h58m20s,19.97222222,13.6,14.6,1,12.5,0.7,0.5,95,"considerably faint, small, round, 2nd of 5","cF, S, R, 2nd of 5"
3842,NGC3842,NGC3842,,,III 378,15,,Gxy,Gxy,E3,Ê¨×Ó×ù,LEO,11h44m2s,11.73388889,+19h57m0s,19.95,11.8,12.8,1,12.2,1.4,1,5,"faint, small, round, very gradually a little brighter middle, 3rd of 5","F, S, R, vglbM, 3rd of 5"
3843,NGC3843,NGC3843,,,,19,,Gxy,Gxy,S0-a,ÊÒÅ®×ù,VIR,11h43m54.6s,11.73183333,+7h55m34s,7.926111111,13.5,14.4,0.9,12.4,0.9,0.4,42,"faint, extended southwest-northeast, 11th magnitude star to west","F, E sp nf, * 11 p"
3844,NGC3844,NGC3844,,,,18,,Gxy,Gxy,S0-a,Ê¨×Ó×ù,LEO,11h44m0.9s,11.73358333,+20h1m46s,20.02944444,13.9,14.9,1,12.3,1.2,0.2,28,"very faint, pretty small, a little extended","vF, pS, lE"
3845,NGC3845,NGC3845,,,,16,,Gxy,Gxy,Sb,Ê¨×Ó×ù,LEO,11h44m5.5s,11.73486111,+19h59m46s,19.99611111,14,15,1,12.4,0.8,0.3,135,"very faint, pretty small, 4th of 5","vF, pS, 4th of 5"
3846,NGC3846,NGC3846,,,,12,,Gxy,Gxy,Sbc,´óÐÜ×ù,UMA,11h44m28.9s,11.74136111,+55h39m8s,55.65222222,13.4,14.2,0.8,12.9,1,0.7,135,"faint, pretty large, round, very gradually brighter middle","F, pL, R, vgbM"
3847,NGC3847,NGC3847,,,,16,,Gxy,Gxy,E0,´óÐÜ×ù,UMA,11h44m14s,11.73722222,+33h30m52s,33.51444444,13.3,14.3,1,13.6,1.1,1.1,,"faint, small, round, pretty suddenly brighter middle","F, S, R, psbM"
3848,NGC3848,NGC3848,,,III 35,15,,Gxy,Gxy,S0,ÊÒÅ®×ù,VIR,11h42m11.1s,11.70308333,+10h16m41s,10.27805556,13.1,14,0.9,13.1,1.4,0.8,178,"extremely faint, very small","eF, vS"
3849,NGC3849,NGC3849,,,,19,,Gxy,Gxy,S0-a,ÊÒÅ®×ù,VIR,11h45m35.2s,11.75977778,+3h13m56s,3.232222222,13.7,14.6,0.9,12.6,0.8,0.5,36,,"F, S, F * 2' ssp"
3850,NGC3850,NGC3850,,,III 776,12,,Gxy,Gxy,SBc,´óÐÜ×ù,UMA,11h45m35.5s,11.75986111,+55h53m12s,55.88666667,13.3,14,0.7,14.1,2.1,1,118,"extremely faint, pretty large, a little extended","eF, pL, lE"
3851,NGC3851,NGC3851,,,,16,,Gxy,Gxy,E3,Ê¨×Ó×ù,LEO,11h44m20.4s,11.739,+19h58m52s,19.98111111,14.7,15.7,1,13.2,0.6,0.4,71,"extremely faint, very small, round, 5th of 5","eF, vS, R, 5th of 5"
3852,NGC3852,NGC3852,,,III 36,15,,Gxy,Gxy,SBa,ÊÒÅ®×ù,VIR,11h42m23.8s,11.70661111,+10h15m53s,10.26472222,13,14,1,13.2,1.3,1,160,"extremely faint, very small","eF, vS"
3853,NGC3853,NGC3853,,,,18,,Gxy,Gxy,E4,Ê¨×Ó×ù,LEO,11h44m28.3s,11.74119444,+16h33m30s,16.55833333,12.4,13.4,1,13,1.6,1,140,"small, round, brighter middle","S, R, bM"
3854,NGC3854,NGC3854,,,,19,,Gxy,Dup,SBb,¾Þ¾ô×ù,CRT,11h44m51.9s,11.74775,-9h13m59s,-9.233055556,12,12.8,0.8,13.1,1.9,1.5,49,,"eF, vS, lE 70¡ã, bMN"
3855,NGC3855,NGC3855,,,,18,,Gxy,Gxy,SBb,´óÐÜ×ù,UMA,11h44m25.8s,11.7405,+33h21m21s,33.35583333,14,14.8,0.8,13.9,1.2,0.9,72,,"eF, vS, PD doubtful"
3856,NGC3856,NGC3856,,,,18,,Gxy,Dup,E0,´óÐÜ×ù,UMA,11h44m14s,11.73722222,+33h30m52s,33.51444444,13.3,14.3,1,13.6,1.1,1.1,,,"North of the last one, others near"
3857,NGC3857,NGC3857,,,,19,,Gxy,Gxy,S0,Ê¨×Ó×ù,LEO,11h44m50.1s,11.74725,+19h31m59s,19.53305556,14.1,15.1,1,13.4,1,0.6,42,"very faint, very small, much brighter middle","vF, vS, mbM"
3858,NGC3858,NGC3858,,,,19,,Gxy,Dup,Sa,¾Þ¾ô×ù,CRT,11h45m11.6s,11.75322222,-9h18m52s,-9.314444444,13.2,14.1,0.9,13.2,1.4,0.8,56,,"eF, eS, R, gbM, * 9.5 p 3s"
3859,NGC3859,NGC3859,,,,19,,Gxy,Gxy,S?,Ê¨×Ó×ù,LEO,11h44m52.4s,11.74788889,+19h27m17s,19.45472222,14.1,14.8,0.7,13,1.2,0.3,58,"extremely faint, very small, round, a little brighter middle, mottled but not resolved?","eF, vS, R, lbM, r?"
3860,NGC3860,NGC3860,A,,III 386,15,,Gxy,Gxy,Sab,Ê¨×Ó×ù,LEO,11h44m49.2s,11.747,+19h47m42s,19.795,13.4,14.2,0.8,12.7,1,0.6,38,"very faint, very small, mottled but not resolved","vF, vS, r"
3861,NGC3861,NGC3861,A,,,16,,Gxy,Gxy,Sb,Ê¨×Ó×ù,LEO,11h45m3.8s,11.75105556,+19h58m25s,19.97361111,12.7,13.5,0.8,13.7,2.3,1.3,77,"faint, small, round, brighter middle","F, S, R, bM"
3862,NGC3862,NGC3862,,,III 385,15,,Gxy,Gxy,E0,Ê¨×Ó×ù,LEO,11h45m5s,11.75138889,+19h36m23s,19.60638889,12.7,13.7,1,13.5,1.5,1.5,,,"vF, vS, R, * 17 n"
3863,NGC3863,NGC3863,,,,18,,Gxy,Gxy,Sbc,ÊÒÅ®×ù,VIR,11h45m5.5s,11.75152778,+8h28m12s,8.47,12.9,13.7,0.8,13.3,2.8,0.6,75,"very faint, 2 arcmin long, much extended 70¡ã, gradually a little brighter middle","vF, 2' l, mE 70¡ã, glbM"
3864,NGC3864,NGC3864,,,,19,,Gxy,Gxy,D,Ê¨×Ó×ù,LEO,11h45m15.6s,11.75433333,+19h23m32s,19.39222222,14.2,14.8,0.6,12.9,0.9,0.7,66,"extremely faint, very small, round","eF, vS, R"
3865,NGC3865,NGC3865,,,,13,,Gxy,Gxy,SBb,¾Þ¾ô×ù,CRT,11h44m51.9s,11.74775,-9h13m59s,-9.233055556,12,12.8,0.8,13.1,1.9,1.5,49,"faint, pretty large, diffuse","F, pL, dif"
3866,NGC3866,NGC3866,,,,19,,Gxy,Gxy,Sa,¾Þ¾ô×ù,CRT,11h45m11.6s,11.75322222,-9h18m52s,-9.314444444,13.2,14.1,0.9,13.2,1.4,0.8,56,,"sf last one, not so L"
3867,NGC3867,NGC3867,,,,19,,Gxy,Gxy,S?,Ê¨×Ó×ù,LEO,11h45m29.6s,11.75822222,+19h24m1s,19.40027778,13.2,14.2,1,12.9,1.5,0.6,173,"faint, small, irregularly round, much brighter middle, southern of 2","F, S, irrR, mbM, s of 2"
3868,NGC3868,NGC3868,,,,19,,Gxy,Gxy,S,Ê¨×Ó×ù,LEO,11h45m30s,11.75833333,+19h26m41s,19.44472222,14.4,15.2,0.8,12.7,0.8,0.3,85,"very faint, very small, round, much brighter middle, northern of 2","vF, vS, R, mbM, n of 2"
3869,NGC3869,NGC3869,,,,16,,Gxy,Gxy,Sa,Ê¨×Ó×ù,LEO,11h45m45.5s,11.76263889,+10h49m29s,10.82472222,12.8,13.7,0.9,12.5,1.9,0.5,135,"faint, small, irregularly round, pretty suddenly brighter middle","F, S, iR, psbM"
3870,NGC3870,NGC3870,,,III 833,15,,Gxy,Gxy,S0,´óÐÜ×ù,UMA,11h45m56.6s,11.76572222,+50h12m2s,50.20055556,13,13.5,0.5,12.8,1,0.8,25,"considerably faint, considerably small, round, pretty suddenly brighter middle","cF, cS, R, psbM"
3871,NGC3871,NGC3871,,,,16,,Gxy,Gxy,Sb,´óÐÜ×ù,UMA,11h46m10.1s,11.76947222,+33h6m34s,33.10944444,14.8,15.6,0.8,14.2,1.4,0.5,102,,"eF, R, gbM, 1st of 4 (?)"
3872,NGC3872,NGC3872,,,II 104,13,,Gxy,Gxy,E5,Ê¨×Ó×ù,LEO,11h45m48.9s,11.76358333,+13h46m0s,13.76666667,11.7,12.7,1,12.6,1.9,1.2,25,,"B, S, R, smbM *"
3873,NGC3873,NGC3873,,,III 387,15,,Gxy,Gxy,E1,Ê¨×Ó×ù,LEO,11h45m46s,11.76277778,+19h46m26s,19.77388889,12.9,13.9,1,13.6,1.5,1.3,95,,"vF, pS, lE, III 387 sf"
3874,NGC3874,NGC3874,,,III 104,15,,Star(s),Star(s),*2,ÊÒÅ®×ù,VIR,11h45m37.9s,11.76052778,+8h34m27s,8.574166667,99,99,99,99,,,,"very faint, very small, suspected","vF, vS, suspected"
3875,NGC3875,NGC3875,,,,18,,Gxy,Gxy,S0-a,Ê¨×Ó×ù,LEO,11h45m49.4s,11.76372222,+19h46m3s,19.7675,13.9,14.8,0.9,12.6,1,0.3,87,"very faint, very small, mottled but not resolved","vF, vS, r"
3876,NGC3876,NGC3876,,,III 103,15,,Gxy,Gxy,Sab,ÊÒÅ®×ù,VIR,11h45m26.5s,11.75736111,+9h9m39s,9.160833333,12.8,13.6,0.8,12.4,1.1,0.7,105,"very faint, mottled but not resolved","vF, r"
3877,NGC3877,NGC3877,,,I 201,6,,Gxy,Gxy,Sc,´óÐÜ×ù,UMA,11h46m7.3s,11.76869444,+47h29m40s,47.49444444,11,11.8,0.8,13,5.3,1.2,35,"bright, large, much extended 37¡ã","B, L, mE 37¡ã"
3878,NGC3878,NGC3878,,,,16,,Gxy,Gxy,E0,´óÐÜ×ù,UMA,11h46m17.7s,11.77158333,+33h12m18s,33.205,12.8,13.8,1,11.4,0.5,0.5,,"very faint, round, 2nd of 4","vF, R, 2nd of 4"
3879,NGC3879,NGC3879,,,II 881,15,,Gxy,Gxy,Sd,ÌìÁú×ù,DRA,11h46m49.6s,11.78044444,+69h23m0s,69.38333333,13,13.6,0.6,13.2,2.7,0.5,130,,"F, pL, mE 105¡ã ¡À (d'A not found)"
3880,NGC3880,NGC3880,,,,16,,Gxy,Gxy,E0,´óÐÜ×ù,UMA,11h46m22.2s,11.77283333,+33h9m44s,33.16222222,13.9,14.9,1,13.2,0.7,0.7,,"very faint, round, gradually brighter middle, 3rd of 4","vF, R, gbM, 3rd of 4"
3881,NGC3881,NGC3881,,,,16,,Gxy,Gxy,S0-a,´óÐÜ×ù,UMA,11h46m34.4s,11.77622222,+33h6m25s,33.10694444,13.9,14.8,0.9,13.1,0.7,0.7,,"very faint, round, gradually brighter middle, 4th of 4","vF, R, gbM, 4th of 4"
3882,NGC3882,NGC3882,,,,13,,Gxy,Gxy,SBbc,°ëÈËÂí×ù,CEN,11h46m6.1s,11.76836111,-56h23m20s,-56.38888889,12,12.8,0.8,13,2.3,1.4,126,"very faint, a little extended, 2 stars involved","vF, lE, 2 st inv"
3883,NGC3883,NGC3883,,,III 372,15,,Gxy,Gxy,Sb,Ê¨×Ó×ù,LEO,11h46m47.1s,11.77975,+20h40m33s,20.67583333,12.7,13.4,0.7,14.6,2.8,2.3,159,"very faint, considerably large","vF, cL"
3884,NGC3884,NGC3884,,,III 388,15,,Gxy,Gxy,S0-a,Ê¨×Ó×ù,LEO,11h46m12.1s,11.77002778,+20h23m29s,20.39138889,12.6,13.5,0.9,13.6,2.1,1.4,10,,"cF, S, iR, gbM, r, * 7 sp 6'"
3885,NGC3885,NGC3885,,,III 828,12,,Gxy,Gxy,SB0-a,³¤Éß×ù,HYA,11h46m46.5s,11.77958333,-27h55m20s,-27.92222222,10.9,11.9,1,12.7,2.4,1,123,"considerably faint, very small, very little extended, brighter middle, very faint star to southeast","cF, vS, vlE, bM, vF * sf"
3886,NGC3886,NGC3886,,,,18,,Gxy,Gxy,E-S0,Ê¨×Ó×ù,LEO,11h47m5.5s,11.78486111,+19h50m14s,19.83722222,13.1,14.1,1,13.1,1.2,0.9,132,faint,F
3887,NGC3887,NGC3887,,,I 120,6.5,,Gxy,Gxy,SBbc,¾Þ¾ô×ù,CRT,11h47m4.6s,11.78461111,-16h51m14s,-16.85388889,10.6,11.4,0.8,12.8,3.5,2.7,20,"pretty bright, large, irregularly round, very gradually pretty much brighter middle","pB, L, iR, vgpmbM"
3888,NGC3888,NGC3888,,,II 785,12,,Gxy,Gxy,SBc,´óÐÜ×ù,UMA,11h47m34.9s,11.79302778,+55h57m58s,55.96611111,12.1,12.7,0.6,12.9,1.8,1.4,120,"pretty bright, small, a little extended, pretty gradually brighter middle","pB, S, lE, pgbM"
3889,NGC3889,NGC3889,,,,19,,Gxy,Gxy,S0,´óÐÜ×ù,UMA,11h47m48.1s,11.79669444,+56h1m7s,56.01861111,14.8,15.8,1,13.3,0.7,0.4,126,,"vF, vS, 5' s of II 785"
3890,NGC3890,NGC3890,,,III 940,15,,Gxy,Gxy,Sc,ÌìÁú×ù,DRA,11h49m19.5s,11.82208333,+74h18m7s,74.30194444,13.3,14,0.7,12.9,0.9,0.9,,"very faint, small, round, brighter middle","vF, S, R, bM"
3891,NGC3891,NGC3891,,,II 723,15,,Gxy,Gxy,Sbc,´óÐÜ×ù,UMA,11h48m3.2s,11.80088889,+30h21m35s,30.35972222,12.4,13.2,0.8,13.6,2,1.7,70,"pretty bright, small, brighter middle","pB, S, bM"
3892,NGC3892,NGC3892,,,II 553,6.5,,Gxy,Gxy,SB0-a,¾Þ¾ô×ù,CRT,11h48m1s,11.80027778,-10h57m44s,-10.96222222,11.5,12.4,0.9,13.5,3.1,2.3,95,"pretty bright, pretty large, round, gradually brighter middle, mottled but not resolved","pB, pL, R, gbM, r"
3893,NGC3893,NGC3893,,,II 738,6,,Gxy,Gxy,SBc,´óÐÜ×ù,UMA,11h48m38.2s,11.81061111,+48h42m41s,48.71138889,10.5,10.9,0.4,13.1,4.5,2.8,165,"bright, pretty large, round, much brighter middle","B, pL, R, mbM"
