ID,±êÊ¶,M±êÊ¶,ÍØÕ¹Ãû,×é¼þ,Class,ÒµÓàÅÅÃû,ÖÐÎÄÃû,ÀàÐÍ,º¬ÖØ¸´ÀàÐÍ,ÐÎÌ¬,ÐÇ×ù(Zh),ÐÇ×ù(En),³à¾­(J2000),³à¾­D(J2000),³àÎ³(J2000),³àÎ³D(J2000),¿É¼û¹âÐÇµÈV,ÉãÓ°(À¶¹â)ÐÇµÈB,B-V,±íÃæÁÁ¶È(mag/arcmin2),³¤Öá(·Ö),¶ÌÖá(·Ö),·½Î»½Ç,ÏêÏ¸ÃèÊö,¼òÂÔÃèÊö
6033,NGC6033,NGC6033,,,,18,,Gxy,Gxy,Sbc,¾ÞÉß×ù,SER,16h4m27.9s,16.07441667,-2h7m13s,-2.120277778,13.7,14.5,0.8,13.4,1.1,1,90,very faint nebulous star,vF neb *
6034,NGC6034,NGC6034,,,,19,,Gxy,Gxy,E2,ÎäÏÉ×ù,HER,16h3m32s,16.05888889,+17h11m55s,17.19861111,13.5,14.6,1.1,13.3,1,0.8,54,"most extremely faint, very small, round, very difficult","eeF, vS, R, v diffic"
6035,NGC6035,NGC6035,,,,19,,Gxy,Gxy,SBc,ÎäÏÉ×ù,HER,16h3m24.1s,16.05669444,+20h53m27s,20.89083333,13.5,14.2,0.7,13.1,0.9,0.9,,"very faint, pretty large, a little extended, southeastern of 2","vF, pL, lE, sf of 2"
6036,NGC6036,NGC6036,,,,18,,Gxy,Gxy,S0-a,¾ÞÉß×ù,SER,16h4m30.7s,16.07519444,+3h52m5s,3.868055556,13.4,14.3,0.9,13,1.1,0.4,146,"very faint, very small, round, stellar","vF, vS, R, stell"
6037,NGC6037,NGC6037,,,,18,,Gxy,Gxy,Sab,¾ÞÉß×ù,SER,16h4m29.8s,16.07494444,+3h48m56s,3.815555556,14.1,14.9,0.8,13,0.7,0.6,54,"very faint, small","vF, S"
6038,NGC6038,NGC6038,,,III 622,15,,Gxy,Gxy,Sc,±±Ãá×ù,CRB,16h2m40.4s,16.04455556,+37h21m34s,37.35944444,13.5,14.2,0.7,13.6,1.1,1.1,,"very faint, small, round, 10th magnitude star to southeast","vF, S, R, * 10 sf"
6039,NGC6039,NGC6039,,,,19,,Gxy,Dup,E-S0,ÎäÏÉ×ù,HER,16h4m39.5s,16.07763889,+17h42m1s,17.70027778,14,14.9,0.9,13.3,0.8,0.7,65,"most extremely faint, very small, round, southwestern of 3 in line","eeF, vS, R, sp of 3 in line"
6040,NGC6040,NGC6040,A,,,18,,Gxy,Gxy,SBc,ÎäÏÉ×ù,HER,16h4m26.7s,16.07408333,+17h45m0s,17.75,14.2,15.1,0.9,13.6,1.3,0.7,42,"very faint, extremely small, faint star close","vF, eS, F * close"
6041,NGC6041,NGC6041,A,,,18,,Gxy,Gxy,E-S0,ÎäÏÉ×ù,HER,16h4m35.8s,16.07661111,+17h43m17s,17.72138889,13.3,14.4,1.1,13.5,1.3,1.1,36,"very faint, very small","F, S"
6042,NGC6042,NGC6042,,,,18,,Gxy,Gxy,E-S0,ÎäÏÉ×ù,HER,16h4m39.5s,16.07763889,+17h42m1s,17.70027778,14,14.9,0.9,13.3,0.8,0.7,65,"most extremely faint, very small, round, southwestern of 3 in line","vF, vS"
6043,NGC6043,NGC6043,A,,,19,,Gxy,Gxy,SB0,ÎäÏÉ×ù,HER,16h5m1.5s,16.08375,+17h46m33s,17.77583333,14.3,15.3,1,12.8,0.7,0.4,55,"most extremely faint, pretty small, a little extended, '4th of 10'","eeF, pS, lE, ""4th of 10"""
6044,NGC6044,NGC6044,,,,19,,Gxy,Gxy,S0,ÎäÏÉ×ù,HER,16h4m59.6s,16.08322222,+17h52m13s,17.87027778,14.3,15.3,1,13,0.6,0.6,,"most extremely faint, very small, round, very faint star close to west","eeF, vS, R, vF * close p"
6045,NGC6045,NGC6045,A,,,19,,Gxy,Gxy,SBc,ÎäÏÉ×ù,HER,16h5m8s,16.08555556,+17h45m29s,17.75805556,13.9,14.9,1,12.8,1.3,0.3,82,"most extremely faint, very small, round, very difficult","eeF, vS, R, v diffic"
6046,NGC6046,NGC6046,,,III 33,15,,Gxy,Gxy,S0-a,ÎäÏÉ×ù,HER,16h1m29.1s,16.02475,+19h21m34s,19.35944444,13.5,14.4,0.9,13.8,1.3,1.1,30,"very faint, pretty small, no nucleus","eF, pL, partly verified"
6047,NGC6047,NGC6047,,,,19,,Gxy,Gxy,E3,ÎäÏÉ×ù,HER,16h5m9s,16.08583333,+17h43m47s,17.72972222,13.5,14.6,1.1,13.4,1.1,0.8,90,"extremely faint, round, pretty small, faint star close to north","eF, R, pS, F * close n"
6048,NGC6048,NGC6048,,,II 873,15,,Gxy,Gxy,E2,Ð¡ÐÜ×ù,UMI,15h57m30.2s,15.95838889,+70h41m20s,70.68888889,12.3,13.3,1,13.8,2.2,1.7,140,"faint, round, brighter middle","F, R, bM"
6049,NGC6049,NGC6049,,,,16,,Star(s),Star(s),*,¾ÞÉß×ù,SER,16h5m37.8s,16.09383333,+8h5m48s,8.096666667,99,6.3,99,99,,,,7th magnitude star in photosphere,* 7 in photosphere
6050,NGC6050,NGC6050,A,,,19,,Gxy,Gxy,SBc,ÎäÏÉ×ù,HER,16h5m23.5s,16.08986111,+17h45m26s,17.75722222,14.7,15.4,0.7,13.9,0.9,0.6,132,"most extremely faint, small, round, very difficult","eeF, S, R, v diffic"
6051,NGC6051,NGC6051,,,,19,,Gxy,Gxy,E3,¾ÞÉß×ù,SER,16h4m56.6s,16.08238889,+23h55m56s,23.93222222,13.1,14.2,1.1,13.1,1.6,1.1,165,"faint, small, round, gradually brighter middle and nucleus, 10th magnitude star to southeast","F, S, R, gbMN, * 10 sf"
6052,NGC6052,NGC6052,,2,,13,,Gxy,Dup,S/P,ÎäÏÉ×ù,HER,16h5m13.2s,16.087,+20h32m32s,20.54222222,13,13.8,0.8,12.3,0.8,0.3,175,"faint, pretty large, irregularly round, (? = (WH) III 140)","F, pL, iR (? = III 140)"
6053,NGC6053,NGC6053,,,,19,,Gxy,Dup,E2,ÎäÏÉ×ù,HER,16h5m39.5s,16.09430556,+18h9m53s,18.16472222,14.7,15.7,1,13.4,0.6,0.5,159,"most extremely faint, small, round, very difficult","eeF, S, R, v diffic"
6054,NGC6054,NGC6054,,,,19,,Gxy,Gxy,SB0,ÎäÏÉ×ù,HER,16h5m38.1s,16.09391667,+17h46m3s,17.7675,14.2,15.3,1.1,12.9,0.8,0.4,65,"most extremely faint, pretty small, a little extended, faint star to the southwest","eeF, pS, lE, F * sp"
6055,NGC6055,NGC6055,,,,19,,Gxy,Gxy,SB0,ÎäÏÉ×ù,HER,16h5m32.7s,16.09241667,+18h9m34s,18.15944444,13.7,14.8,1.1,13,1,0.6,40,"most extremely faint, pretty small, round, very difficult","eeF, pS, R, v diffic"
6056,NGC6056,NGC6056,,,,19,,Gxy,Gxy,SB0-a,ÎäÏÉ×ù,HER,16h5m31.1s,16.09197222,+17h57m46s,17.96277778,13.9,15,1.1,12.9,0.9,0.5,56,"most extremely faint, very difficult","eeF, v diffic"
